	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.899 ± 0.023084	0.848 ± 0.026486	0.12209 ± 0.013312	0.834 ± 0.027569	0.695 ± 0.052973	0.4047 ± 0.031048	0.696 ± 0.053701	0.696 ± 0.053243	0.875 ± 0.032767	0.821 ± 0.046174	0.896 ± 0.024220	0.899 ± 0.013010	0.850 ± 0.045737	0.845 ± 0.053354
precision_recall_auc	0.876 ± 0.032303	0.764 ± 0.059201	0.13321 ± 0.013801	0.708 ± 0.087803	0.528 ± 0.118402	0.4401 ± 0.040255	0.614 ± 0.110938	0.569 ± 0.110688	0.744 ± 0.054756	0.870 ± 0.081215	0.871 ± 0.034277	0.885 ± 0.020413	0.606 ± 0.112491	0.923 ± 0.048152
roc_auc	0.883 ± 0.034629	0.797 ± 0.069390	0.13216 ± 0.020801	0.760 ± 0.099714	0.595 ± 0.138780	0.4266 ± 0.063094	0.640 ± 0.113030	0.616 ± 0.120651	0.804 ± 0.085067	0.836 ± 0.089158	0.879 ± 0.036216	0.893 ± 0.028000	0.722 ± 0.163551	0.873 ± 0.073606
