	time	scoring	best_params	best_score
0	III14	mcc	{'svc__C': 10000.0, 'svc__gamma': 1e-05}	0.6105289690714482
1	III14	precision_recall_auc	{'svc__C': 1000.0, 'svc__gamma': 1e-05}	0.8540785634875281
2	III14	roc_auc	{'svc__C': 1000.0, 'svc__gamma': 1e-05}	0.8563131313131314
3	C-1	mcc	{'svc__C': 10000.0, 'svc__gamma': 1e-05}	0.6105289690714482
4	C-1	precision_recall_auc	{'svc__C': 1000.0, 'svc__gamma': 1e-05}	0.8540785634875281
5	C-1	roc_auc	{'svc__C': 1000.0, 'svc__gamma': 1e-05}	0.8563131313131314
