	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.916 ± 0.020395	0.835 ± 0.035177	0.11977 ± 0.018716	0.814 ± 0.042678	0.670 ± 0.070353	0.4472 ± 0.159925	0.686 ± 0.067949	0.678 ± 0.068731	0.835 ± 0.038406	0.851 ± 0.044794	0.914 ± 0.020673	0.894 ± 0.033396	0.783 ± 0.061139	0.886 ± 0.038629
precision_recall_auc	0.910 ± 0.013048	0.828 ± 0.043168	0.12021 ± 0.009499	0.804 ± 0.056344	0.657 ± 0.086336	0.3902 ± 0.051996	0.681 ± 0.071131	0.668 ± 0.077934	0.824 ± 0.050154	0.857 ± 0.039141	0.908 ± 0.013485	0.908 ± 0.018103	0.761 ± 0.087057	0.895 ± 0.030679
roc_auc	0.909 ± 0.018415	0.843 ± 0.033128	0.12195 ± 0.011424	0.824 ± 0.043830	0.686 ± 0.066256	0.3950 ± 0.057722	0.699 ± 0.051111	0.692 ± 0.058560	0.846 ± 0.040202	0.853 ± 0.024785	0.906 ± 0.018966	0.905 ± 0.022561	0.800 ± 0.070273	0.886 ± 0.023957
