	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.898 ± 0.028513	0.861 ± 0.018202	0.12731 ± 0.008673	0.848 ± 0.020241	0.721 ± 0.036404	0.4242 ± 0.029901	0.719 ± 0.034062	0.720 ± 0.034990	0.888 ± 0.026303	0.831 ± 0.026256	0.894 ± 0.032216	0.897 ± 0.014727	0.867 ± 0.038845	0.855 ± 0.028748
precision_recall_auc	0.911 ± 0.023999	0.840 ± 0.022811	0.12468 ± 0.009975	0.825 ± 0.023324	0.680 ± 0.045623	0.4166 ± 0.030213	0.678 ± 0.048658	0.679 ± 0.047103	0.864 ± 0.015186	0.813 ± 0.038122	0.909 ± 0.024681	0.905 ± 0.021495	0.839 ± 0.017568	0.841 ± 0.038629
roc_auc	0.887 ± 0.073350	0.840 ± 0.027385	0.13045 ± 0.024631	0.826 ± 0.027100	0.680 ± 0.054769	0.5015 ± 0.270647	0.678 ± 0.057144	0.679 ± 0.055921	0.864 ± 0.016031	0.814 ± 0.045588	0.883 ± 0.078582	0.890 ± 0.047914	0.839 ± 0.017568	0.841 ± 0.049097
