	mean_ncv_average_precision	mean_ncv_balanced_accuracy	mean_ncv_brier_loss	mean_ncv_f1	mean_ncv_informedness	mean_ncv_log_loss	mean_ncv_markedness	mean_ncv_mcc	mean_ncv_negative_predictive_value	mean_ncv_precision	mean_ncv_precision_recall_auc	mean_ncv_roc_auc	mean_ncv_sensitivity	mean_ncv_specificity
mcc	0.860 ± 0.038917	0.807 ± 0.032164	0.14794 ± 0.019175	0.784 ± 0.038369	0.615 ± 0.064329	0.4693 ± 0.051082	0.629 ± 0.064700	0.622 ± 0.064195	0.812 ± 0.032432	0.817 ± 0.046490	0.856 ± 0.040462	0.853 ± 0.035677	0.756 ± 0.053672	0.859 ± 0.045201
precision_recall_auc	0.875 ± 0.040705	0.807 ± 0.022900	0.13573 ± 0.014634	0.783 ± 0.030896	0.615 ± 0.045799	0.4299 ± 0.038599	0.629 ± 0.038954	0.621 ± 0.041500	0.812 ± 0.027594	0.816 ± 0.031644	0.871 ± 0.042657	0.875 ± 0.033484	0.756 ± 0.053672	0.859 ± 0.033539
roc_auc	0.886 ± 0.029460	0.816 ± 0.021427	0.13291 ± 0.009062	0.795 ± 0.023075	0.631 ± 0.042855	0.4234 ± 0.024849	0.641 ± 0.053046	0.636 ± 0.047761	0.822 ± 0.012339	0.820 ± 0.045105	0.883 ± 0.031108	0.883 ± 0.021321	0.772 ± 0.017568	0.859 ± 0.039800
