	min_max_ncv_average_precision	min_max_ncv_balanced_accuracy	min_max_ncv_brier_loss	min_max_ncv_f1	min_max_ncv_informedness	min_max_ncv_log_loss	min_max_ncv_markedness	min_max_ncv_mcc	min_max_ncv_negative_predictive_value	min_max_ncv_precision	min_max_ncv_precision_recall_auc	min_max_ncv_roc_auc	min_max_ncv_sensitivity	min_max_ncv_specificity
mcc	[0.853, 0.937]	[0.788, 0.889]	[0.09689, 0.14528]	[0.750, 0.875]	[0.576, 0.778]	[0.3242, 0.4426]	[0.604, 0.846]	[0.595, 0.811]	[0.769, 0.846]	[0.812, 1.000]	[0.849, 0.935]	[0.801, 0.932]	[0.667, 0.778]	[0.864, 1.000]
precision_recall_auc	[0.888, 0.939]	[0.694, 0.833]	[0.09809, 0.13003]	[0.560, 0.800]	[0.389, 0.667]	[0.3255, 0.4147]	[0.587, 0.786]	[0.509, 0.724]	[0.667, 0.786]	[0.846, 1.000]	[0.886, 0.938]	[0.866, 0.927]	[0.389, 0.667]	[0.909, 1.000]
roc_auc	[0.882, 0.928]	[0.732, 0.889]	[0.10411, 0.13495]	[0.667, 0.875]	[0.465, 0.778]	[0.3467, 0.4238]	[0.548, 0.846]	[0.504, 0.811]	[0.714, 0.846]	[0.800, 1.000]	[0.878, 0.927]	[0.851, 0.924]	[0.556, 0.778]	[0.864, 1.000]
